workload,backpressure_percent,master,operation,requests,mean_latency_cycles,p50_latency_cycles,p95_latency_cycles,max_latency_cycles,mean_arbitration_wait_cycles,accepted_requests_per_cycle,service_share_percent,age_override_events,status
qos_priority,50,2,write,1,2.00,2,2,2,NA,0.0128,9.09,0,PASS
qos_priority,50,3,read,1,10.00,10,10,10,0.00,0.0128,9.09,0,PASS
qos_priority,50,3,write,1,13.00,13,13,13,0.00,0.0128,9.09,0,PASS
qos_priority,75,0,read,2,2.50,1,4,4,0.00,0.0200,18.18,0,PASS
qos_priority,75,0,write,1,17.00,17,17,17,0.00,0.0100,9.09,0,PASS
qos_priority,75,1,read,2,1.00,1,1,1,0.00,0.0200,18.18,0,PASS
qos_priority,75,1,write,1,2.00,2,2,2,NA,0.0100,9.09,0,PASS
qos_priority,75,2,read,2,1.00,1,1,1,0.00,0.0200,18.18,0,PASS
qos_priority,75,2,write,1,2.00,2,2,2,NA,0.0100,9.09,0,PASS
qos_priority,75,3,read,1,11.00,11,11,11,0.00,0.0100,9.09,0,PASS
qos_priority,75,3,write,1,21.00,21,21,21,0.00,0.0100,9.09,0,PASS
starvation_override,0,0,read,1,16.00,16,16,16,0.00,0.0040,0.83,1,PASS
starvation_override,0,1,read,40,14.88,16,16,16,0.00,0.1587,33.06,1,PASS
starvation_override,0,2,read,40,15.00,16,16,16,0.00,0.1587,33.06,1,PASS
starvation_override,0,3,read,40,15.12,16,16,16,0.00,0.1587,33.06,1,PASS
starvation_override,25,0,read,1,16.00,16,16,16,0.00,0.0040,0.83,1,PASS
starvation_override,25,1,read,40,14.20,16,16,16,0.00,0.1587,33.06,1,PASS
starvation_override,25,2,read,40,14.30,16,16,16,0.00,0.1587,33.06,1,PASS
starvation_override,25,3,read,40,14.38,16,16,16,0.00,0.1587,33.06,1,PASS
starvation_override,50,0,read,1,2.00,2,2,2,0.00,0.0039,0.83,1,PASS
starvation_override,50,1,read,40,2.33,2,4,4,0.00,0.1575,33.06,1,PASS
starvation_override,50,2,read,40,2.35,2,4,4,0.00,0.1575,33.06,1,PASS
starvation_override,50,3,read,40,2.40,2,4,4,0.00,0.1575,33.06,1,PASS
starvation_override,75,0,read,1,1.00,1,1,1,0.00,0.0020,0.83,1,PASS
starvation_override,75,1,read,40,1.00,1,1,1,0.00,0.0813,33.06,1,PASS
starvation_override,75,2,read,40,1.00,1,1,1,0.00,0.0813,33.06,1,PASS
starvation_override,75,3,read,40,1.00,1,1,1,0.00,0.0813,33.06,1,PASS
outstanding_ids,0,0,read,4,9.25,9,12,12,0.00,0.0800,50.00,0,PASS
outstanding_ids,0,0,write,4,10.75,9,16,16,0.00,0.0800,50.00,0,PASS
outstanding_ids,25,0,read,4,9.25,9,12,12,0.00,0.0755,50.00,0,PASS
outstanding_ids,25,0,write,4,12.25,10,19,19,0.00,0.0755,50.00,0,PASS
outstanding_ids,50,0,read,4,9.25,9,12,12,0.00,0.0702,50.00,0,PASS
outstanding_ids,50,0,write,4,15.75,14,22,22,0.00,0.0702,50.00,0,PASS
outstanding_ids,75,0,read,4,9.25,9,12,12,0.00,0.0533,50.00,0,PASS
outstanding_ids,75,0,write,4,25.00,23,37,37,0.00,0.0533,50.00,0,PASS
